"NAME","ID","BASIN","ISO_TIME_________","NATURE","LAT","LON","WMO WIND","WMO PRES","USA WIND","TOKYO WIND","TOKYO PRES","CMA WIND","CMA PRES","HKO WIND","HKO PRES"
"GUILLERMO","2021198N13257","EP","2021-07-18 00:00:00","TS","17.26","-110.47","35","1004"
"GUILLERMO","2021198N13257","EP","03:00:00","TS","17.40","-110.84","40","1002"
"GUILLERMO","2021198N13257","EP","06:00:00","TS","17.56","-111.22","45","1000"
"GUILLERMO","2021198N13257","EP","09:00:00","TS","17.73","-111.68","45","1000"
"GUILLERMO","2021198N13257","EP","12:00:00","TS","17.92","-112.15","45","1000"
"GUILLERMO","2021198N13257","EP","15:00:00","TS","18.18","-112.70","47","999"
"GUILLERMO","2021198N13257","EP","18:00:00","TS","18.45","-113.34","50","999"
"GUILLERMO","2021198N13257","EP","21:00:00","TS","18.66","-114.05","47","1000"
"GUILLERMO","2021198N13257","EP","2021-07-19 00:00:00","TS","18.80","-114.80","45","1001"
"GUILLERMO","2021198N13257","EP","03:00:00","TS","18.89","-115.45","42","1002"
"GUILLERMO","2021198N13257","EP","06:00:00","TS","18.95","-116.05","40","1003"
"GUILLERMO","2021198N13257","EP","09:00:00","TS","19.02","-116.61","37","1004"
"GUILLERMO","2021198N13257","EP","12:00:00","TS","19.10","-117.25","35","1005"
"GUILLERMO","2021198N13257","EP","15:00:00","TS","19.20","-118.06","32","1006"
"GUILLERMO","2021198N13257","EP","18:00:00","TS","19.30","-119.00","30","1007"
"GUILLERMO","2021198N13257","EP","21:00:00","TS","19.39","-120.07","30","1007"
"GUILLERMO","2021198N13257","EP","2021-07-20 00:00:00","TS","19.40","-121.10","30","1007"
"GUILLERMO","2021198N13257","EP","03:00:00","TS","19.25","-121.89","30","1007"
"GUILLERMO","2021198N13257","EP","06:00:00","TS","19.10","-122.60","30","1007"
"GUILLERMO","2021198N13257","EP","09:00:00","TS","19.19","-123.40","30","1007"
"GUILLERMO","2021198N13257","EP","12:00:00","TS","19.25","-124.20","30","1007"
"GUILLERMO","2021198N13257","EP","15:00:00","TS","19.10","-124.96","30","1007"
"GUILLERMO","2021198N13257","EP","18:00:00","TS","18.80","-125.70","30","1007"
"JIMENA","2021207N14248","EP","2021-07-25 12:00:00","DS","13.70","-111.60","15",""
"JIMENA","2021207N14248","EP","15:00:00","DS","13.71","-112.02","15",""
"JIMENA","2021207N14248","EP","18:00:00","DS","13.70","-112.40","15",""
"JIMENA","2021207N14248","EP","21:00:00","DS","13.66","-112.72","15",""
"JIMENA","2021207N14248","EP","2021-07-26 00:00:00","DS","13.60","-113.00","15",""
"JIMENA","2021207N14248","EP","03:00:00","DS","13.56","-113.26","15",""
"JIMENA","2021207N14248","EP","06:00:00","DS","13.50","-113.50","15",""
"JIMENA","2021207N14248","EP","09:00:00","DS","13.40","-113.74","17",""
"JIMENA","2021207N14248","EP","12:00:00","DS","13.30","-114.00","20",""
"JIMENA","2021207N14248","EP","15:00:00","DS","13.24","-114.33","20",""
"JIMENA","2021207N14248","EP","18:00:00","DS","13.20","-114.70","20",""
"JIMENA","2021207N14248","EP","21:00:00","DS","13.15","-115.11","20",""
"JIMENA","2021207N14248","EP","2021-07-27 00:00:00","DS","13.10","-115.50","20","1008"
"JIMENA","2021207N14248","EP","03:00:00","DS","13.06","-115.82","20","1008"
"JIMENA","2021207N14248","EP","06:00:00","DS","13.00","-116.10","20","1008"
"JIMENA","2021207N14248","EP","09:00:00","DS","12.91","-116.37","20","1008"
